priority,category,target,address_or_geo,developer_or_owner,size,status,pitch_angle,best_contact_path,source
HIGH,New Dev — Brooklyn,Bergen 489 Bergen,489 Bergen Street Boerum Hill,Avdoo & Partners Development,105 units,Active sales 7 contracts signed Feb 2026 ($1.5M-$3.4M),Sponsor holding inventory — pitch rental mgmt + board transition,Avdoo & Partners directly,The Real Deal
HIGH,New Dev — Brooklyn,19-29 Clay Street,19-29 Clay Street Greenpoint,Investmates,68 units,Construction financing secured $81M 14-story luxury,Pre-completion PM pitch,Direct to Investmates,Multi-Housing News
MEDIUM,New Dev — Brooklyn,One Domino Square,346 Kent Avenue Williamsburg,Two Trees Management,Mixed-use,Active luxury amenities unveiled,Two Trees multi-project relationship,Jed Walentas Two Trees,Brooklyn Press
MEDIUM,New Dev — Brooklyn,One South First,1 South 1st Street Williamsburg,Two Trees Management,Mixed-use,Active luxury amenities,Two Trees multi-project relationship,Jed Walentas Two Trees,Brooklyn Press
HIGH,New Dev — Manhattan boutique,220 East 9th Street,220 East 9th Street East Village,Compass Development Marketing,18 units,16 of 18 contracts signed Feb 2026,Nearly sold out — board formation imminent,Compass Development Marketing,Marketproof
HIGH,New Dev — Manhattan boutique,227 West 19th Street,227 West 19th Street Chelsea,Round Square Builders + DXA Studio,8 units,Topped out private fitness center + rooftop,Completion 2026 — direct sponsor outreach,Round Square Builders,CityRealty
HIGH,New Dev — Queens LIC,Paragon (Paint Factory site),LIC,ZD Jasper (from Quadrum/Baron/Simon JV),186 units studio-4BR,Topped out 23 stories completion 2026,Mixed-use condo + retail PM pitch,ZD Jasper directly,CityRealty
HIGH,New Dev — Queens LIC,Loft 21,11-50 45th Road LIC,Century Development,66 units 6 stories,Completion est 2026 27 parking spaces,Boutique LIC — direct sponsor outreach,Century Development,CityRealty
HIGH,New Dev — Queens LIC,Urban 21,46-30 21st Street LIC,Urban Construction & Development,71 units 9 stories,Sales underway near Court Square,Low-rise boutique PM pitch,Urban Construction & Development,CityRealty
MEDIUM,New Dev — Queens LIC,Icon Condominium,LIC,INOA Architecture,TBD,Offering plan submitted July 2025 near Queensboro Plaza,Pre-construction advisory + eventual PM,INOA Architecture,CityRealty
HIGH,New Dev — Queens LIC,The Cube,42-53 24th Street LIC,United Construction & Development,217 units 14 stories,Completion est 2027 retail component,Pitch for condo association PM post-sponsor,United Construction & Development,CityRealty
MEDIUM,New Dev — Queens LIC,30-25 Queens Boulevard,30-25 Queens Boulevard LIC,Baron Property Group,561 units (451 rental + 110 condo) 46 stories,$388.5M construction loan completion est 2028,Pitch PM for 110 condo units + retail,Baron Property Group,CityRealty
MEDIUM,New Dev — Queens LIC,45-03 23rd Street,45-03 23rd Street LIC,Incoco Capital / Tavros / Charney Companies,636 units 55 stories,$525M loan Whole Foods + Chelsea Piers Fitness,Pitch as local PM partner for condo association,Incoco/Tavros/Charney,CityRealty
MEDIUM,New Dev — Queens LIC,Skyline Tower II (42-50 24th St),42-50 24th Street LIC,United Construction & Development,393 units 38 stories,$57.5M land Feb 2025 completion 2028,Pre-completion PM pitch,United Construction & Development,CityRealty
MEDIUM,New Dev — Williamsburg boutique,185 Skillman Avenue,East Williamsburg,StudioSC,Boutique condo,Launching sales 2026,Pre-construction advisory,StudioSC,Kimi research
HIGH,New Dev — Williamsburg boutique,109 Devoe Street,109 Devoe Street Williamsburg,StudioSC,8 units,Launching sales 2026,Small boutique direct sponsor outreach,StudioSC,Kimi research
MEDIUM,New Dev — Clinton Hill,477 Washington Avenue,477 Washington Ave Clinton Hill,Z Architecture,5-story condo,Early stage,Ground-floor relationship opportunity,Z Architecture,Kimi research
HIGH,Self-Managed — Compliance Pain,CNYC Small Co-op/Condo Discussion Group,NYC citywide,Council of NY Cooperatives & Condos,500+ buildings <30 units,Next meeting June 9 2026,Pitch boutique PM at small-building scale,Rebecca Poole Dir of Membership info@cnyc.coop,cnyc.com
HIGH,Self-Managed — Compliance Pain,CNYC 46th Annual Conference,NYC,CNYC,1000+ board members,Fall 2026,Exhibit/sponsor — board members are decision makers,Rebecca Poole CNYC,cnyc.com
HIGH,Self-Managed — Compliance Pain,Insurance Non-Renewal Buildings,NYC citywide,CNYC insurance advocacy list,Hundreds,Ongoing 2026 insurance crisis,Buildings need PM with strong vendor relationships — Camelot insurance mitigation,CNYC advocacy outreach,cnyc.com
MEDIUM,Self-Managed — Compliance Pain,#4 Oil Conversion Buildings,NYC,CNYC #4 oil compliance list,100+ remaining,Active,Boiler replacement = capital project mgmt opportunity,CNYC,cnyc.com
HIGH,Self-Managed — Compliance Pain,Local Law 97 Penalty Buildings,NYC,NYC Open Data + CNYC dashboard,50000+ buildings citywide,Active enforcement,Pitch decarbonization consulting + PM bundle,NYC Open Data scrape + cold outreach,nyc.gov
HIGH,Distressed — Acquisition + Mgmt,Flagstar Bank Bankruptcy Portfolio,Brooklyn / Queens / Manhattan / Bronx,Various (Chapter 11),5100+ rent-stabilized units,Dec 2026 auction bid deadline,Contact winning bidders SAME DAY post-acquisition,Monitor auction set Google Alerts,Multi-Housing News
HIGH,Distressed — Acquisition + Mgmt,Tax Lien Graveyard Trust Properties,NYC,Various distressed owners,350+ multifamily buildings,Land Bank takeover 2029,Position as interim stabilization manager,HPD relationship + new owner outreach,nyc.gov
MEDIUM,Distressed — Acquisition + Mgmt,TPT Reform Properties (Intro 657-2026),NYC,New nonprofit owners,Distressed rentals,Active 2026 reform,Pitch nonprofit coalition + HPD relationship,HPD + reform coalition,nyc.gov
HIGH,Distressed — Acquisition + Mgmt,Aging Co-op Sponsor Units,Greenwich Village Carnegie Hill Morningside Hts,Various individual sponsors,Thousands of unsold shares,Active,Sponsors need PM for rental ops of unsold shares,StreetEasy keyword search Sponsor Unit / No Board Approval,avenuelawfirm
HIGH,Institutional Developer,Kahen Properties,1026 Third Ave (The Remi),Kahen Properties,108 units,Sponsor-to-board transition + ongoing PM,Direct to Kahen development team,Kahen direct outreach,Kimi research
MEDIUM,Institutional Developer,Toll Brothers City Living (Tribeca),351-355 Broadway Tribeca,Toll Brothers,98 units,Active,National developer seeking local PM partner,Toll Brothers City Living NYC office,Kimi research
MEDIUM,Institutional Developer,Sackman Enterprises,15 West 96th Street,Sackman Enterprises,16 ultra-luxury condos,3000+ sqft units,Ultra-luxury PM for full-floor condos,Direct to Sackman,Kimi research
MEDIUM,Institutional Developer,Pi Capital Partners,339 Fifth Avenue,Pi Capital Partners,TBD,Pre-construction,Pre-construction PM advisory,Direct outreach Pi Capital,Kimi research
HIGH,Competitive Takeaway,711 West End Avenue,711 West End Avenue UWS,P2B Ventures (currently Kaled Mgmt),65-unit addition,Active,Competitive takeaway from Kaled Management,Board outreach as project completes,Kimi research
HIGH,Institutional Developer,NY Lions Group / Albert Shirian,42-06 27th Street LIC,NY Lions Group,110 units,Active,Queens expansion opportunity,Direct to Albert Shirian,Kimi research
MEDIUM,Institutional Developer,Bharat Patel / Sun Moon NY LLC,100 Greenwich Street,Sun Moon NY LLC,192-unit hotel/residential,Active,Mixed-use PM pitch,Direct to Bharat Patel,Kimi research
HIGH,Institutional Developer,Corigin Real Estate Group,20 East End Avenue,Corigin,43 units $4.5M-$20M range,Active,High-end condo PM,Direct to Corigin principals,Kimi research
HIGH,New Dev — Bronx Affordable,The Peninsula Phase II,Hunts Point South Bronx,MHANY + Gilbane + community partners,~250 units (740 total),Phase II completion 2026,Partner with MHANY as local PM subcontractor,MHANY development team,Gilbane
MEDIUM,New Dev — Bronx Supportive,Baez Place,Claremont Bronx,Community Access + Blue Sky Bronx LLC,154 units,Completed March 2026,Newly completed — supportive-services PM opportunity,Community Access leadership,Governor.NY.gov
MEDIUM,New Dev — Queens Affordable,Ocean Park Apartments,Far Rockaway Queens,Tredway,602 units,Renovation underway completion est 2026,Affordable housing PM — partner model,Tredway,Merchants Capital
HIGH,Competitive Takeaway,Mega-firm Remote/Hybrid Boards,NYC citywide,Boards under FirstService / AKAM / Douglas Elliman PM,Various,Active 2026,Pitch: We still show up. White-glove in-person 24/7,Board president outreach via CNYC directory,Camelot positioning
HIGH,Competitive Takeaway,DOB Violation Pileup Buildings,NYC citywide,Various boards,Various,2026,DOB violation remediation specialty pitch,Scrape NYC DOB BIS for repeat-violator buildings,nyc.gov BIS
HIGH,Competitive Takeaway,Local Law 97 Fine-Facing Buildings,NYC citywide,Various boards,Various,2024-2026 enforcement,We get you compliant not just managed,NYC LL97 Dashboard + cold outreach,nyc.gov
HIGH,Competitive Takeaway,FISP Facade-Delayed Buildings,NYC citywide,Various boards,Various,2026,Project mgmt + compliance bundle,DOB FISP database,nyc.gov FISP
MEDIUM,Competitive Takeaway,32BJ Strike-Prep Buildings,NYC citywide,Various boards,Various,2026 contract season,Labor relations + ops continuity pitch,Industry intel + CNYC,Camelot positioning
HIGH,Suburban — Westchester,The Hudson at Croton-on-Hudson,Croton-on-Hudson NY,TBD,~100 units,Active leasing,Hudson Valley luxury — Camelot Westchester expansion,Direct to developer,buywithbizzarro
HIGH,Suburban — Westchester,The Enclave at Armonk,Armonk NY,Toll Brothers,TBD luxury,Model home late spring 2026,National-developer-local-PM-partner pitch,Toll Brothers Westchester division,realestatehudsonvalleyny
MEDIUM,Suburban — Westchester,Tavo Development project,Westchester (TBD),Tavo Development (arch Teo Siguenza),TBD,Fall 2026 completion,Pre-completion PM pitch,Direct to Tavo Development,realestatehudsonvalleyny
MEDIUM,Suburban — Westchester,Villa BXV,Bronxville NY,Existing 2018 building,53 units one- to three-bed + penthouses,Stabilized — competitive takeaway,Board outreach for management review,buywithbizzarro
MEDIUM,Suburban — Westchester,St Regis Residences,Rye NY,Existing,95 units 55+ community,Stabilized,Competitive takeaway luxury 55+ community,Board / developer direct,buywithbizzarro
HIGH,Suburban — NJ,Daisy NJ HOA expansion territory,Northern NJ HOAs,Daisy (competitor — territory map),Various,2026 active expansion,Counter-positioning vs Daisy in NJ HOA market,Northern NJ HOA boards directly,njbiz
HIGH,Suburban — NJ South,South Jersey HOAs (Cherry Hill Camden),Cherry Hill NJ + Camden County,Various HOAs,Various,Active,Competitive takeaway from CAMCO / Associa / Corner / Realty Solutions,Direct board outreach,njrealtysolutions
MEDIUM,Suburban — NJ South,Jersey City Reserve Study Compliance,Jersey City Hudson County,Buildings 200+ units / 25+ years old,200+ unit HOAs,S2760 & S3992 compliance 2026,Pitch compliance + PM bundle,NJ HOA director outreach,propfusion
HIGH,Florida — Compliance Pain,SIRS-Stressed Condo Associations,Statewide FL,Owner-controlled assocs 3+ stories,Hundreds-thousands,SIRS deadlines Dec 2025/2026 + milestone insp every 10 yrs,Replacement mgmt for non-compliant associations facing $500/day fines + special magistrate liens,FCAP membership + targeted boards,M2E / criterium-cromer / fpat
HIGH,Florida — Compliance Pain,Coastal Buildings within 3 mi of coast,FL coastline,Buildings 25+ years old,Thousands,Required milestone inspection,Replacement PM as associations panic over compliance,Coastal county property records,buildingmavens
HIGH,Florida — Compliance Pain,Pre-2025 Reserve-Waiver Buildings,Statewide FL,SIRS-required associations,Many,Can no longer waive/reduce reserve contributions,Capital project mgmt + PM bundle pitch,Direct association outreach,propfusion
MEDIUM,Florida — Distress,Older High-Rise Condos w/ Special Assessments,Miami Beach Fort Lauderdale Naples,Various 1970s-90s buildings,Various,Active distress wave 2026,Replacement PM as owners protest,Property managers reports + local press,Surfside reform fallout
HIGH,Florida — New Dev,Florida HOA & Condo Mgmt 2026 Industry Report Lookalikes,Statewide FL,Various boutique developers,Various,May 2026 report,Use report's top-rated firms list to identify boards moving away from underperformers,PRWeb FL HOA report,prweb
MEDIUM,Florida — Acquisition,Florida PM Firms for Sale (50+ on BizQuest),Statewide FL,Various small firms,Under $10M revenue typically,Active listings,Tuck-in acquisition — buy a Florida book of business,BizQuest FL listings,bizquest
HIGH,PM Firm Acquisition,NY PM Firms for Sale (BizBuySell),NY statewide,Various boutique firms,Sub-$10M revenue,Active 280 nationwide,Acquire NY book of business,BizBuySell NY listings,bizbuysell
MEDIUM,PM Firm Acquisition,NJ PM Firms for Sale (BizQuest 5 listings),NJ statewide,Various small firms,Various,Active listings,Acquire NJ book of business,BizQuest NJ listings,bizquest
MEDIUM,PM Firm Acquisition,LoopNet PM Business Listings,Multi-state,Various,Various,Active,Acquire commercial PM firm,LoopNet biz listings,loopnet
MEDIUM,Out-of-the-box,NYC Public Administrator estate auctions,NYC,County Public Admin,Various estate properties,Ongoing,Estate-property PM during probate (7-9 months) + post-sale,Contact NY County Public Admin,nyc.gov
MEDIUM,Out-of-the-box,Astoria 21-unit multifamily bankruptcy,29th Street Astoria Queens,Bankruptcy estate,21 residential units 13000 sqft,Active,Post-acquisition PM pitch,Bankruptcy court filings,Empathy
HIGH,Referral Channel,Real Property Management NY Gold,NYC,Realtor referral program,$250/referral,Active,Reverse referral — Camelot send PM referrals get $250 + relationship,Realtor referral program,rpmnewyorkgold
HIGH,Referral Channel,Estate Planning + Probate Attorneys,NYC,Cullen and Dykman McLaughlin & Stern Tannenbaum Helpern Jules M Haas Stephen Bilkis,Various,Active referral channel,Trust + estate property mgmt referrals — pitch CLE + lunch,Direct partner-by-name outreach,nycprobatelawyer
HIGH,Referral Channel,NYC Bar Legal Referral Service,42 West 44th Street NYC,NYC Bar,Connects attorneys to clients,Active,Become preferred PM partner for estate/landlord-tenant attorneys,NYC Bar Referral Service,nycbar.org
HIGH,Referral Channel,Skyline Properties (commercial brokerage),NYC,Skyline Properties,Has own commercial PM — competitor + potential overflow,Active,Overflow PM referrals from non-fit accounts,Skyline Properties NYC,clutch.co
HIGH,Referral Channel,NAI Global brokerage NYC office,NYC,NAI Global,Commercial brokerage no NYC PM arm,Active,PM referrals from commercial brokerage,NAI Global NY office,naiglobal
MEDIUM,Referral Channel,Boutique residential brokerages without PM arms,NYC + Suburbs,Many,Various,Active,Build referral pipeline from listing agents whose owner-clients need mgmt,Direct outreach to broker-owners,clutch.co
HIGH,Family Office Channel,NYC Family Office Directory,NYC,Multiple SFOs/MFOs,Various $50M-$200M RE holdings,Active,Pitch direct RE mgmt outsourcing,Family Office Access directory,familyofficeaccess
MEDIUM,Family Office Channel,Cresset Capital NYC office,NYC,Cresset Capital multi-family office,Various,Active,Cresset clients with NYC RE may need local PM,Direct partner outreach Cresset NY,cressetcapital
MEDIUM,Family Office Channel,JMC Family Office,NYC,JMC Family Office,Various,Active,Direct family office relationship,Direct JMC outreach,jmcfamilyoffice
MEDIUM,Family Office Channel,Baker Tilly Real Estate Services for Family Offices,NYC,Baker Tilly,Various,Active,Cross-referral with Baker Tilly's RE family office clients,Baker Tilly RE practice lead,bakertilly
HIGH,Family Office Channel,Brown Brothers Harriman Multi-Family Office,NYC,BBH MFO,Various large family RE holdings,Active,Family office clients with single-asset RE may need local mgmt,BBH Capital Partners team,bbh.com
HIGH,Industry Body,Queens Bronx Building Association (current member),Queens + Bronx,QBBA,200+ buildings represented,Active membership,Upgrade Camelot's QBBA visibility for QQ/BX boards,QBBA events + sponsorship,QBBA
